sector,stock_name,avg_yearly_return,variance_sum,overall_change_market_cap
Industrials,AAL,0.37432354713050847,0.4804492487761937,507.09159532670765
Financial-Services,AAMC,1.818870663604496,12.9619927955642,-92.55606952621253
Financial-Services,AAME,0.08903148080515615,0.0944603789663492,-43.32455870917418
Technology,AAOI,0.13624184760935962,0.19241745445593114,428.0884654568782
Technology,AAPL,0.29893699911592153,0.08196275406450244,281.5217009115902
Consumer-Cyclical,AAP,0.19071138007165406,0.1010580728383574,213.76555289446358
Real-Estate,AAT,0.1241062353067987,0.021524088665230593,263.844778196647
Industrials,AAWW,0.0010382071010057558,0.07025578742805165,2.3192235092371405
Industrials,AAXN,0.3768379654731146,0.1325329991091726,1798.6750570765307
Basic-Materials,AA,0.02811356448651302,0.1770923720181922,-76.13247554678205
Healthcare,ABBV,0.2183969082353365,0.06478511640084861,228.9767255481828
Industrials,ABB,0.07725712547213182,0.04887047722066049,-18.45461738125625
Healthcare,ABEO,-0.06802997940415473,0.6628330639039791,8715.287096774187
Consumer-Defensive,ABEV,0.19873986617772926,0.18766381377610014,179167.74910081134
Consumer-Cyclical,ABG,0.2822893487054806,0.08812989550394942,281.14262170188283
Healthcare,ABMD,0.46348117134162437,0.29486320418921574,9565.016715743795
Industrials,ABM,0.10558351038746643,0.05194647647306996,225.96051802674947
Real-Estate,ABR-PA,0.09800403138095873,0.0006517180179042312,-50.75492192407535
Real-Estate,ABR-PC,0.08937719120056019,0.00033294863237184294,-65.19895989283744
Real-Estate,ABR,0.40478079566015596,0.3842938869718202,23567.610285444684
Financial-Services,ABTX,0.1362359118360455,0.0557583946954493,632.793856771403
Healthcare,ABT,0.18001095256549865,0.029601283723561293,41.88321860137296
Healthcare,ABUS,0.2349131997823135,0.7348451958247006,3798.610763454315
Healthcare,ACAD,0.875206839605507,2.3879608368552416,9508.484761357098
Financial-Services,ACBI,0.0697930862059715,0.017997804718155094,788.100801068091
Healthcare,ACB,2.3562348888225992,32.62279110194167,-100.0
Industrials,ACCO,0.07891795118175056,0.13585054483478723,29.210234059965643
Real-Estate,ACC,0.1087097030609733,0.03779971032550183,349.0948824162564
Healthcare,ACER,-0.24845033005777156,0.2503154893846166,133.23469387755094
Financial-Services,ACGLO,0.4757840783849178,0.3324787882732666,-87.12115007780244
Financial-Services,ACGLP,0.07742778179765797,0.053836491000921485,-59.864464160291995
Healthcare,ACHC,0.32451848437731734,0.2788264840899375,35452.45978630975
Basic-Materials,ACH,-0.02951946898785973,0.1579417126607113,-94.3953563366656
Technology,ACIA,0.38848456167587386,0.370434137510572,-62.561447972704826
Healthcare,ACIU,-0.12124593301562764,0.007283972454263857,-13.175778198499106
Technology,ACIW,0.22552183214357863,0.0544106933185999,1043.72574385511
Technology,ACMR,0.43288978510831333,0.4444326547588182,5657.226890756301
Industrials,ACM,0.07279422377043665,0.06536165918739892,150.75880383109757
Financial-Services,ACNB,0.17084071911789714,0.029749796596912535,2235.072392183497
Healthcare,ACOR,-0.10182361204984747,0.1255403057628599,-15.544398184570007
Financial-Services,ACP,0.06718483401529715,0.04036252552133637,98.04667242869492
Real-Estate,ACRE,0.0726816508331052,0.02767045735519294,215.57954441496662
Healthcare,ACRS,-0.01536878234910637,0.629771684821616,-31.209965114216473
Healthcare,ACRX,0.0934521978664187,0.5374692923010822,4601.817810457511
Industrials,ACTG,0.07179810723520938,0.4794284054998278,-93.79047991966775
Consumer-Defensive,ACU,0.17194684976109537,0.10295243474608977,-33.956473214285666
Financial-Services,ACV,0.11687100452566512,0.05970517144473632,-78.31193379590141
Industrials,ACY,0.05120900965011706,0.3474988007338252,292.0526986825329
Financial-Services,AC,0.09595592626068275,0.1990198060784486,-68.8353793679818
Healthcare,ADAP,-0.2678375937647915,0.2502211573098715,-75.79907068431427
Technology,ADBE,0.2774330560867574,0.06635626990263624,500.4861676972169
Real-Estate,ADC,0.17941255374603798,0.010326127254331045,608.3409759639267
Technology,ADI,0.18390498371301417,0.02241455734002516,364.10374764426535
Healthcare,ADMA,-0.006812911775048566,0.15410562316777873,2525.1800633823113
Healthcare,ADMS,-0.006200593431177459,0.39710399185406264,10.838650610887154
Consumer-Defensive,ADM,0.08632136696997998,0.05282745736170481,22.88969601977302
Consumer-Cyclical,ADNT,0.03366856429604763,0.24413847242412423,-28.996501509261222
Industrials,ADP,0.19822449129346062,0.013306209001165994,180.68775486987414
Healthcare,ADRO,-0.4487464196272537,0.03676648390862235,-71.96547472438385
Technology,ADSK,0.2359225054281075,0.043471368464011874,144.8488107112
Industrials,ADSW,0.13521600613337129,0.022345108747804758,416.96426318199246
Financial-Services,ADS,0.1100138374035804,0.11332336298146514,160.42544220660756
Technology,ADTN,-0.014694505801555357,0.1060592162154941,-77.85074976745115
Healthcare,ADUS,0.42807183893259104,0.4949178204241644,18195.585844093766
Healthcare,ADVM,0.4045512718577622,1.5237933271781205,-22.152552552552606
Financial-Services,ADX,0.12465849136128859,0.02278240278945801,306.66030617989827
Utilities,AEE,0.154776143471101,0.0134173206771428,401.5863088723405
Financial-Services,AEF,0.04747657152346226,0.07438109254157875,-80.61275990582106
Industrials,AEGN,0.030301613701495457,0.07317408776136078,-19.81492011838207
Financial-Services,AEG,0.04743549772652554,0.09736093997609983,74.54592338774455
Technology,AEHR,0.20581572225305425,0.7133576645035451,488.1720430107529
Technology,AEIS,0.23065072674397688,0.16711455892656807,127.43849254625412
Financial-Services,AEL,0.2175266984852533,0.16191981573283173,400.66392624194407
